DEPTH,AC,SP,GR,RT
626.1,333.892,95.433,75.828,4.698
626.225,343.634,95.429,76.124,4.473
626.35,355.746,95.549,76.229,4.302
626.475,369.123,95.739,76.972,4.119
626.6,380.799,95.945,78.856,3.898
626.725,388.226,96.134,81.411,3.641
626.85,390.276,96.309,82.795,3.325
626.975,387.879,96.536,81.975,3.056
627.1,384.425,96.89,79.619,2.822
627.225,383.399,97.411,77.821,2.626
627.35,386.331,98.12,79.006,2.465
627.475,392.571,98.975,82.684,2.326
627.6,399.764,99.952,87.21,2.207
627.725,405.318,101.009,90.635,2.108
627.85,408.257,102.073,91.631,2.034
627.975,408.761,103.048,91.126,1.986
628.1,406.044,103.836,90.108,1.968
628.225,400.004,104.349,89.07,1.98
628.35,390.865,104.493,87.563,2.021
628.475,380.953,104.362,84.956,2.073
628.6,374.824,104.041,81.251,2.129
628.725,374.302,103.608,77.335,2.173
628.85,378.105,103.132,75.094,2.194
628.975,382.891,102.708,75.359,2.193
629.1,385.796,102.421,77.894,2.17
629.225,387.59,102.335,81.48,2.129
629.35,390.308,102.536,84.279,2.077
629.475,394.89,102.992,85.639,2.021
629.6,400.077,103.683,85.634,1.965
629.725,403.977,104.569,84.67,1.915
629.85,406.393,105.57,83.363,1.879
629.975,408.377,106.513,82.444,1.855
630.1,411.111,107.261,82.298,1.843
630.225,414.282,107.729,82.968,1.841
630.35,416.439,107.837,84.272,1.847
630.475,415.857,107.641,85.456,1.86
630.6,411.501,107.168,85.661,1.881
630.725,404.872,106.479,84.654,1.91
630.85,398.451,105.698,82.727,1.952
630.975,394.79,104.999,80.649,2.008
631.1,394.311,104.47,79.013,2.074
631.225,393.963,104.131,78.196,2.153
631.35,390.677,103.976,78.501,2.242
631.475,383.315,103.938,79.548,2.337
631.6,373.64,103.998,81.152,2.433
631.725,365.234,104.142,83.059,2.526
631.85,360.318,104.313,84.475,2.614
631.975,359.573,104.408,84.816,2.696
632.1,362.215,104.358,84.155,2.77
632.225,366.449,104.142,83.1,2.834
632.35,371.037,103.807,82.665,2.88
632.475,375.116,103.488,82.947,2.906
632.6,378.343,103.272,83.574,2.905
632.725,380.754,103.177,83.758,2.88
632.85,382.176,103.178,82.451,2.83
632.975,382.62,103.213,79.722,2.764
633.1,382.946,103.277,76.256,2.69
633.225,384.312,103.394,73.125,2.617
633.35,387.002,103.585,71.661,2.554
633.475,390.089,103.781,72.057,2.505
633.6,392.376,103.898,73.999,2.473
633.725,393.684,103.866,76.615,2.461
633.85,394.755,103.619,78.818,2.468
633.975,396.077,103.202,79.963,2.484
634.1,396.791,102.659,79.878,2.504
634.225,395.427,102.035,78.99,2.523
634.35,391.559,101.351,78.224,2.543
634.475,386.959,100.666,78.091,2.568
634.6,384.641,100.039,78.354,2.602
634.725,386.246,99.519,78.332,2.647
634.85,390.683,99.137,77.489,2.701
634.975,394.006,98.842,76.5,2.76
635.1,392.509,98.599,76.346,2.817
635.225,385.374,98.413,77.399,2.872
635.35,374.939,98.316,78.969,2.928
635.475,365.869,98.269,80.071,2.996
635.6,361.235,98.238,80.409,3.092
635.725,360.916,98.223,80.191,3.23
635.85,362.726,98.253,79.859,3.446
635.975,364.342,98.328,79.677,3.743
636.1,365.582,98.415,79.733,4.087
636.225,367.91,98.443,79.993,4.517
636.35,372.757,98.326,80.449,5.066
636.475,380.381,98.094,80.777,5.74
636.6,388.753,97.77,80.285,6.548
636.725,395.62,97.349,78.483,7.491
636.85,399.528,96.815,75.354,8.569
636.975,399.801,96.227,71.828,9.625
637.1,397.452,95.645,68.631,10.382
637.225,393.29,95.148,66.482,10.578
637.35,387.89,94.867,66.223,10.036
637.475,382.063,94.824,67.368,9.047
637.6,377.177,95.001,69.138,7.894
637.725,374.395,95.365,70.826,6.788
637.85,374.048,95.901,71.946,5.854
637.975,375.538,96.543,72.732,5.094
638.1,377.452,97.257,73.529,4.511
638.225,378.993,97.976,74.467,4.073
638.35,379.568,98.56,75.272,3.775
638.475,378.127,98.953,75.991,3.56
638.6,374.626,99.171,76.874,3.437
638.725,374.562,99.255,77.84,3.427
638.85,367.214,99.243,78.727,3.569
638.975,368.485,99.186,79.646,3.778
639.1,373.316,99.109,80.645,4.107
639.225,379.632,99.038,81.676,4.578
639.35,385.238,99.018,82.506,5.264
639.475,388.942,99.057,82.936,6.199
639.6,391.336,99.147,82.993,7.449
639.725,392.773,99.281,83.403,9.153
639.85,393.234,99.453,86.535,11.544
639.975,392.808,99.637,94.525,14.7
640.1,392.472,99.794,109.945,18.805
640.225,393.22,99.866,134.651,23.739
640.35,395.555,99.783,167.369,28.462
640.475,399.122,99.567,197.956,31.798
640.6,402.723,99.24,216.191,33.261
640.725,405.655,98.812,215.505,33.127
640.85,407.55,98.291,194.978,31.968
640.975,407.992,97.749,167.13,30.577
641.1,406.734,97.233,140.947,29.288
641.225,403.618,96.77,120.984,28.277
641.35,399.019,96.389,107.503,27.645
641.475,393.948,96.079,97.017,27.318
641.6,389.772,95.846,88.654,27.226
641.725,387.341,95.704,82.372,27.237
641.85,386.793,95.626,78.503,27.151
641.975,387.222,95.512,76.156,26.8
642.1,386.929,95.329,74.394,26.073
642.225,384.798,95.11,72.716,25.014
642.35,380.834,94.895,70.99,23.696
642.475,376.61,94.681,69.641,22.406
642.6,374.452,94.442,69.334,21.256
642.725,375.77,94.159,70.259,20.319
642.85,380.775,93.887,71.877,19.665
642.975,388.211,93.725,72.961,19.217
643.1,395.923,93.702,72.943,18.936
643.225,402.461,93.76,72.146,18.784
643.35,406.991,93.821,71.535,18.749
643.475,409.461,93.843,71.655,18.789
643.6,410.05,93.815,72.173,18.847
643.725,408.242,93.724,72.542,18.827
643.85,402.921,93.538,72.568,18.56
643.975,393.8,93.286,72.528,18.016
644.1,382.26,93.046,72.779,17.194
644.225,370.314,92.917,73.784,16.149
644.35,360.114,92.977,76.445,15.047
644.475,352.494,93.219,80.763,14.066
644.6,346.767,93.655,86.42,13.214
644.725,341.778,94.266,93.015,12.427
644.85,336.598,94.988,101.527,11.59
644.975,331.428,95.664,114.932,10.661
645.1,327.412,96.142,136.503,9.637
645.225,325.581,96.335,165.565,8.587
645.35,326.202,96.274,194.499,7.633
645.475,328.068,96.126,213.006,6.808
645.6,329.632,95.958,215.721,6.121
645.725,330.297,95.797,203.635,5.557
645.85,330.919,95.681,182.274,5.122
645.975,332.771,95.673,160.19,4.769
646.1,335.632,95.867,140.304,4.482
646.225,337.36,96.304,122.933,4.252
646.35,334.925,96.911,108.553,4.077
646.475,328.609,97.486,97.058,3.942
646.6,321.771,97.914,88.476,3.845
646.725,318.622,98.16,82.441,3.777
646.85,322.15,98.229,78.47,3.729
646.975,330.419,98.179,75.651,3.684
647.1,340.45,98.019,73.723,3.634
647.225,350.651,97.785,72.762,3.575
647.35,360.625,97.546,72.943,3.465
647.475,369.392,97.358,73.734,3.374
647.6,374.982,97.267,74.796,3.271
647.725,375.99,97.324,75.826,3.164
647.85,373.328,97.582,76.337,3.066
647.975,371.073,98.002,76.167,2.991
648.1,372.086,98.564,75.575,2.948
